scenarioId,category,scenarioName,productId,variantId,tourId,inventoryId,evidence,fixtureFile,firstVerifiedAt,lastVerifiedAt,status
catalog.categories.secondary_present,Catalog Hierarchy,Product with secondaryCategories populated (multi-category),5073,16969,16969,576873492,secondaryCategories=[1],fixtures/catalog.categories.secondary_present__16969.json,2026-08-17T18:45:48.320Z,2026-08-19T07:20:38.151Z,OK
catalog.categories.secondary_present,Catalog Hierarchy,Product with secondaryCategories populated (multi-category),5073,44762,44762,576890160,secondaryCategories=[1],fixtures/catalog.categories.secondary_present__44762.json,2026-08-17T18:45:48.322Z,2026-08-19T07:20:38.928Z,OK
field.level.all_customer,Checkout Input Fields,Per-traveler (ALL_CUSTOMER) input field,23340,90547,90547,534574017,field NAME level=ALL_CUSTOMER,fixtures/field.level.all_customer__90547.json,2026-08-17T18:47:34.397Z,2026-08-19T07:20:46.123Z,OK
field.level.all_customer,Checkout Input Fields,Per-traveler (ALL_CUSTOMER) input field,23341,90547,90547,534574017,field NAME level=ALL_CUSTOMER,fixtures/field.level.all_customer__90547.json,2026-08-17T18:47:36.117Z,2026-08-19T07:20:48.686Z,OK
field.level.booking,Checkout Input Fields,Booking-level (not per-customer) input field,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.556Z,2026-08-19T07:33:15.556Z,NOT_FOUND
field.matrix.bool.all_customer,Field Level x Type Matrix,BOOL field at ALL_CUSTOMER level,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.904Z,2026-08-19T07:33:15.904Z,NOT_FOUND
field.matrix.bool.booking,Field Level x Type Matrix,BOOL field at BOOKING level,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.953Z,2026-08-19T07:33:15.953Z,NOT_FOUND
field.matrix.bool.primary_customer,Field Level x Type Matrix,BOOL field at PRIMARY_CUSTOMER level,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.854Z,2026-08-19T07:33:15.854Z,NOT_FOUND
field.matrix.enum.all_customer,Field Level x Type Matrix,ENUM field at ALL_CUSTOMER level,10477,19830,19830,583621101,"field CUSTOM_318326 (ENUM, ALL_CUSTOMER)",fixtures/field.matrix.enum.all_customer__19830.json,2026-08-17T19:27:10.856Z,2026-08-19T07:21:05.930Z,OK
field.matrix.enum.all_customer,Field Level x Type Matrix,ENUM field at ALL_CUSTOMER level,33907,34386,34386,460491301,"field CUSTOM_236376 (ENUM, ALL_CUSTOMER)",fixtures/field.matrix.enum.all_customer__34386.json,2026-08-17T19:18:06.955Z,2026-08-19T07:21:03.813Z,OK
field.matrix.enum.booking,Field Level x Type Matrix,ENUM field at BOOKING level,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:15.805Z,2026-08-19T07:33:15.805Z,NOT_FOUND
field.matrix.enum.primary_customer,Field Level x Type Matrix,ENUM field at PRIMARY_CUSTOMER level,23338,45780,45780,534583422,"field CUSTOM_146542 (ENUM, PRIMARY_CUSTOMER)",fixtures/field.matrix.enum.primary_customer__45780.json,2026-08-17T18:47:25.986Z,2026-08-19T07:20:45.495Z,OK
field.matrix.enum.primary_customer,Field Level x Type Matrix,ENUM field at PRIMARY_CUSTOMER level,23342,45784,45784,534239938,"field CUSTOM_146558 (ENUM, PRIMARY_CUSTOMER)",fixtures/field.matrix.enum.primary_customer__45784.json,2026-08-17T18:47:47.927Z,2026-08-19T07:20:50.745Z,OK
field.matrix.float.all_customer,Field Level x Type Matrix,FLOAT field at ALL_CUSTOMER level,,,,,"Scanned ~55 cities alphabetically (Amsterdam-Buenos Aires) plus targeted scan of Dubai/Singapore/London/Paris/Rome/Orlando/New York (largest catalogs), ~1500+ products total, as of 2026-08-18. Zero matches.",,2026-08-19T07:33:16.003Z,2026-08-19T07:33:16.003Z,NOT_FOUND
field.matrix.int.all_customer,Field Level x Type Matrix,INT field at ALL_CUSTOMER level,9991,18326,18326,559428032,"field CUSTOM_151728 (INT, ALL_CUSTOMER)",fixtures/field.matrix.int.all_customer__18326.json,2026-08-18T02:38:42.663Z,2026-08-19T07:21:16.530Z,OK
field.matrix.int.all_customer,Field Level x Type Matrix,INT field at ALL_CUSTOMER level,13943,26523,26523,553204448,"field CUSTOM_87098 (INT, ALL_CUSTOMER)",fixtures/field.matrix.int.all_customer__26523.json,2026-08-18T02:36:43.135Z,2026-08-19T07:21:15.509Z,OK
field.matrix.int.primary_customer,Field Level x Type Matrix,INT field at PRIMARY_CUSTOMER level,20371,40078,40078,570414250,"field CUSTOM_126640 (INT, PRIMARY_CUSTOMER)",fixtures/field.matrix.int.primary_customer__40078.json,2026-08-17T20:06:31.284Z,2026-08-19T07:21:09.454Z,OK
field.matrix.int.primary_customer,Field Level x Type Matrix,INT field at PRIMARY_CUSTOMER level,21339,41808,41808,518844729,"field CUSTOM_133079 (INT, PRIMARY_CUSTOMER)",fixtures/field.matrix.int.primary_customer__41808.json,2026-08-17T20:04:17.947Z,2026-08-19T07:21:08.630Z,OK
